"unique_name","unique_id","format","endianness"
"set_parameter",0,"UINT8:UINT16;OPAQUE","<"
"get_parameter",1,"OPAQUE:UINT16","<"
"read_measurement",2,"OPAQUE:UINT16","<"
"subscribe_event",3,"UINT8:UINT16;UINT32","<"
"gitar_mgmt_prepare_ota_update",4,"INT8:UINT8;OPAQUE","<"
"gitar_mgmt_allocate_memory",5,"UINT32|UINT32|UINT16|UINT16|UINT16:UINT16;UINT16;UINT16","<"
"gitar_mgmt_disseminate_file",6,"INT8:","<"
"gitar_mgmt_store_file",7,"INT8:UINT8;UINT8;UINT16;OPAQUE","<"
"gitar_mgmt_install_module",8,"INT8:","<"
"gitar_mgmt_activate_module",9,"INT8:","<"